Entry,Text,Category
Agent,The Agent is a interactive passive mob that is exclusive to Minecraft Education and Bedrock Edition .,Mob
Barnacle,"Mob A, the Barnacle , [1] also called ""The Monster of the Ocean Depths"",  was a proposed mob featured in the Mob Vote during MINECON Earth 2017 , alongside the great hunger , the phantom and the wildfire . [2]",Mob
Batato,"A batato is a modified version of the bat , with a poisonous potato replacing the body and head of the mob. It has the same AI as the regular bat.",Mob
Copper Golem,"The copper golem was a proposed mob featured in the Mob Vote during Minecraft Live 2021 , alongside the allay and glare . [1] It was a golem that would have been created with copper . It would have been attracted to copper buttons, which would also come with the golem had it won. [2]",Mob
Crab,"The crab was a proposed mob featured in the Mob Vote during Minecraft Live 2023 , alongside the armadillo and penguin . [1] It would have spawned in mangrove swamps , and had a large arm that it could lose, dropping a crab claw. The crab claw could be used to place blocks from further away. Crabs could be bred with kelp . Crabs occasionally waved at players and other crabs.",Mob
Diamond Chicken,Diamond chickens were a rare joke variant of chicken present in the April Fool's Java Edition 2.0 . They lay lapis lazuli and diamonds instead of eggs .,Mob
Firefly,"The firefly was a proposed mob featured in Minecraft Live 2021 . They were originally going to be eaten by frogs to produce froglights , but this was scrapped due to the fact that some species of fireflies are poisonous to some species of frogs in real life. [1]",Mob
Giant,"Giants are unused , over-sized mobs in Java Edition that look like zombies .",Mob
Glare,"The glare was a proposed mob featured in the Mob Vote during Minecraft Live 2021 , alongside the allay and copper golem . [1]",Mob
Great Hunger,"Mob C, or "" The Great Hunger "" was a proposed mob featured in the Mob Vote during MINECON Earth 2017 , alongside the barnacle , the phantom and the wildfire . [1]",Mob
Iceologer,"The iceologer was a planned mob featured in the Mob Vote during Minecraft Live 2020 , alongside the moobloom and glow squid . [1] It would have been hostile, spawned in mountain peaks , and attacked players with large chunks of ice.",Mob
Illusioner,The illusioner is an unused illager armed with a bow . It attacks using illusions and can also fire arrows .,Mob
Llama,A llama is a tamable neutral mob used to transport large shipments of items.,Mob
Love Golem,The love golem was a buildable passive mob present in the April Fool's Love and Hugs Update . It was a manifestation of the villager's love and peaceful nature.,Mob
Mega Spud,The mega spud is a boss mob found in colosseums in 24w14potato .,Mob
MINECON Earth 2018,"MINECON Earth 2018 was a livestream that was streamed for an hour and a half from 16:00 to 17:30 UTC on September 29, 2018. [1] It featured Erin Wayne (Aureylian), Martyn Littlewood (InTheLittlewood), Yasmin Ayesha (Yammy), Chad Johnson (OMGchad), and Anthony (BigBStatz) as the co-hosts of the show. [2]",Mob
Mob (entity),An entity referred to simply as a mob was a passive mob in very early Minecraft ( Java Edition ). This entity came with several different models across early Minecraft versions. They are an in game instance of the base mob class.,Mob
Monster (entity),"The monster entity was an unused hostile mob that looks identical to the player with the default "" Steve "" skin .",Mob
Moobloom,"The moobloom was a mob planned to be added into Minecraft featured in the Mob Vote during Minecraft Live 2020 , alongside the iceologer and glow squid . [1] It would have been passive, and had some form of interaction with bees .",Mob
Moon Cow,"A moon cow is a variant of a cow that spawns on the Moon . They function similar to the cow, except they walk backward and wear glass .",Mob
Nerd Creeper,The nerd creeper is a hostile creeper -based mob present in the April Fool's Java Edition 3D Shareware v1.34 update.,Mob
NPC,Non player characters (abbreviated as NPCs ) are interactive passive mobs that have models similar to villagers . [1],Mob
Pink Wither,The pink wither or friendly wither was a recurring April Fools' mob present in both Java Edition 2.0 and 15w14a .,Mob
Plaguewhale Slab,"A plaguewhale slab , also known as simply plaguewhale , is a modified version of the elder guardian with a purple body and a green eye. It has the same width and length, but half the height as the elder guardian.",Mob
Poisonous Potato Zombie,"A poisonous potato zombie is a joke variant of the zombie , introduced in 24w14potato .",Mob
Rascal,"The rascal was a proposed mob featured in the Mob Vote during Minecraft Live 2022 , alongside the sniffer and tuff golem . [1] It was a mob that would have been found underground in areas below y=0. The rascal would have given the player hints to help search for it, and would have also given the player an item if it was found three times. Once the rascal had given the player the item it would have teleported away. [2]",Mob
Ray Tracing (mob),Ray Tracing is a humanoid mob exclusive to the April Fools' snapshot 23w13a_or_b that spawns within the Overworld .,Mob
Redstone Bug,A redstone bug was a joke variant of silverfish present in the April Fool's Java Edition 2.0 update.,Mob
Smiling Creeper,"The smiling creeper was a passive mob present in the April Fool's Love and Hugs Update , and is a variant of the creeper .",Mob
Toxifin Slab,"A toxifin slab , also known as simply toxifin , is a modified version of the guardian with an orange body and green spikes, available in 24w14potato . It has the same width and length, but half the height as a guardian.",Mob
Tuff Golem,"The tuff golem was a proposed mob featured in the Mob Vote during Minecraft Live 2022 , alongside the sniffer and rascal . [1] It was a golem that would have been built by the player. If a wool block was included while building it, the tuff golem would have worn a cloak matching the color of the wool.",Mob
Villager (old),"Villagers are passive mobs that inhabit villages , work at their professions, breed, and interact with each other. Their clothing varies according to their occupation. A player can trade with villagers, using emeralds as currency. Villagers received a complete overhaul of both their appearance and their functionality in the Village & Pillage update; this page covers villagers as they appeared and behaved before the update.",Mob
Wildfire,"Mob D, The Wildfire , called ""The Hovering Inferno"" during the vote, was a proposed mob featured in the Mob Vote during MINECON Earth 2017 , alongside the barnacle , the phantom and the great hunger . [1]",Mob
Zombie Horse,"A zombie horse is an unused variant of the regular horse . Zombie horses appear to be the horse equivalent of zombies . Like zombies, zombie horses are green-skinned and their eyes are completely black.",Mob
Zombie Villager,A zombie villager is a variant of the zombie that can be cured into a normal villager using a golden apple while it is under the effect of Weakness .,Mob
