Entry,Text,Category,Image
Amethyst Geode,"An amethyst geode is a feature found in the underground of the Overworld . Amethyst geodes contain smooth basalt , calcite , and are the main source of amethyst shards and blocks of amethyst .",Structure,Images/Structure/Amethyst_Geode.png
Ancient City,"An ancient city is a palatial structure found in deep dark biomes at layer -51, harboring chests containing some items that cannot be found anywhere else. It is also the largest structure in the game.",Structure,Images/Structure/Ancient_City.png
Bastion Remnant,"Bastion remnants [1] are large, castle-like generated structures found in the Nether in all of the biomes except basalt deltas . They generate in four distinct variants, each with a unique structure and set of loot. Piglins and piglin brutes spawn in these structures on generation, and hoglins may also spawn on generation in the bridge and hoglin stables variants. Bastion remnants are the only place to find gilded blackstone , the Pigstep music disc , the snout banner pattern and armor trim , monster spawners which spawn magma cubes , and the netherite upgrade smithing template.",Structure,Images/Structure/Bastion_Remnant.png
Bonus Chest,"The bonus chest is a feature that appears near the player 's spawn if the ""Bonus Chest"" option is toggled on the "" Create New World "" screen. It generates with a semi-random collection of basic items to help the player survive early on and gather necessary resources, including tools, blocks, and food.",Structure,Images/Structure/Bonus_Chest.png
Brick Pyramid,"Brick pyramids were tall experimental generated structures made up exclusively of bricks , present in Java Edition Infdev .",Structure,Images/Structure/Brick_Pyramid.png
Buried Treasure,"Buried treasure is a naturally generated structure that consists of a buried loot chest . The chest is buried primarily in beaches , and rarely in the ocean floor. Buried treasure is the only source of the heart of the sea , which can be used to craft a conduit . Buried treasure can be located using explorer maps .",Structure,Images/Structure/Buried_Treasure.png
Coral Reef,"Coral reefs are features that generate in warm ocean biomes . They consist of multiple clusters of coral blocks , coral , and coral fans . These clusters come in a wide variety of shapes, sizes, and colors.",Structure,Images/Structure/Coral_Reef.png
Desert Pyramid,"A desert pyramid is a structure found in desert biomes built mostly of sandstone . The desert pyramid contains four loot chests hidden under the floor in the center protected by a TNT trap, and a secret buried room to the side where archaeology can be performed.",Structure,Images/Structure/Desert_Pyramid.png
Desert Well,Desert wells are features consisting mostly of sandstone .,Structure,Images/Structure/Desert_Well.png
Disk,A disk is a feature consisting of a naturally generated roughly circular deposit of a soil-like block under or next to bodies of water .,Structure,Images/Structure/Disk.png
End City,"End cities are tall structures found on the outer islands of the End . They are inhabited by shulkers and hold valuable loot , including enchanted iron and diamond tools and armor . End ships , found in some end cities, are the only source of elytra .",Structure,Images/Structure/End_City.png
End gateway,End gateways are intradimensional portals generated in the End : some are spawned around the central island after each death of the ender dragon ; others are randomly generated throughout the outer islands .,Structure,Images/Structure/End_gateway.png
End platform,The end platform (also called the obsidian platform ) is a 5×1×5 square of obsidian that generates when an entity enters the End through an end portal block .,Structure,Images/Structure/End_platform.png
End spike,"End spikes [1] (also known as obsidian spikes , obsidian pillars , obsidian towers , and end pillars ) are a feature in the End that are made of obsidian .",Structure,Images/Structure/End_spike.png
Exit portal,"The exit portal (also known as the end podium or end fountain ) is a feature that enables the player to return to their spawn point , activating upon each defeat of the ender dragon .",Structure,Images/Structure/Exit_portal.png
Forest rock,A forest rock is a feature found throughout old growth taiga biomes.,Structure,Images/Structure/Forest_rock.png
Fossil,"A fossil is a rarely-occurring skeletal feature composed of bone blocks , coal ore , or diamond ore .",Structure,Images/Structure/Fossil.png
Ice Patch,Ice patches are blobs of packed ice that generate exclusively in the ice spikes biome.,Structure,Images/Structure/Ice_Patch.png
Ice Spike,Ice spikes are common features made of packed ice . Ice spikes only generate in the ice spikes biome.,Structure,Images/Structure/Ice_Spike.png
Iceberg,Iceberg may refer to:,Structure,Images/Structure/Iceberg.png
Igloo,"An igloo is a structure sometimes generated in snowy taigas , snowy plains , or snowy slopes and built mainly of snow blocks .",Structure,Images/Structure/Igloo.png
Jungle Pyramid,"Jungle pyramids , also known as jungle temples , are structures found in jungles .",Structure,Images/Structure/Jungle_Pyramid.png
Mineshaft,"Mineshafts are structures found primarily underground in the Overworld . They consist of interlinked 3×3 tunnels with incomplete rail lines running through them, with oak wood platforms bridging gaps or hanging in larger exposed caverns. Mineshafts are the only structures where cave spider monster spawners can be found.",Structure,Images/Structure/Mineshaft.png
Monster Room,"A monster room [a] is a feature found underground in the Overworld . It consists of a room with cobblestone walls and a floor made of cobblestone mixed with mossy cobblestone . A monster spawner that produces either zombies , skeletons , or spiders is found in the middle.",Structure,Images/Structure/Monster_Room.png
Nether Fortress,"A nether fortress is a large structure found in the Nether , consisting of bridges, corridors, and towers. Nether fortresses are the only place where wither skeletons and blazes spawn. They also contain nether wart .",Structure,Images/Structure/Nether_Fortress.png
Nether Fossil,Nether fossils are fossils that generate in soul sand valleys .,Structure,Images/Structure/Nether_Fossil.png
